PID,condition,n_assistant_turns,assistant_words,mean_words_per_turn,n_user_turns,user_words,n_questions,type_token_ratio,fk_grade,first_sg_p100,first_pl_p100,second_person_p100,affect_p100,ack_warm_p100,hedge_p100,emotion_q_p100,personalisation_p100,patient_echo_rate,passive_p100,ack_procedural_p100,directive_p100,technical_p100,session_minutes,n_order_anomalies,PC_index,TC_index,style_index
075,Task-Centred,12,283,23.583333333333332,11,34,10,0.5795053003533569,8.0362200908632,1.0600706713780919,0.35335689045936397,3.5335689045936394,1.0600706713780919,0.0,0.35335689045936397,0.0,0.35335689045936397,0.006369426751592357,3.5335689045936394,8.480565371024735,0.35335689045936397,7.067137809187279,8.896768266666667,0,-1.031739858434741,0.8874779347767741,-1.919217793211515
078,Task-Centred,12,295,24.583333333333332,11,18,10,0.5932203389830508,8.205833333333334,1.0169491525423728,0.6779661016949152,4.067796610169491,1.0169491525423728,0.0,0.0,0.0,0.6779661016949152,0.024539877300613498,3.0508474576271185,7.4576271186440675,0.3389830508474576,6.440677966101695,9.541364366666667,2,-0.9295502798188129,0.6230039832433429,-1.5525542630621558
080,Patient-Centred,15,379,25.266666666666666,13,59,12,0.5593667546174143,7.380821159662787,3.6939313984168867,0.2638522427440633,7.915567282321899,4.221635883905013,1.3192612137203166,2.1108179419525066,0.7915567282321899,1.0554089709762533,0.07339449541284404,0.0,0.5277044854881267,0.2638522427440633,5.277044854881266,9.372932283333334,0,0.6169355636107199,-0.6656255813875822,1.282561144998302
091,Task-Centred,11,285,25.90909090909091,11,43,9,0.5789473684210527,7.084473684210529,2.1052631578947367,0.3508771929824561,5.614035087719298,2.1052631578947367,0.3508771929824561,0.3508771929824561,0.0,0.7017543859649122,0.0392156862745098,3.1578947368421053,5.964912280701754,0.3508771929824561,7.017543859649122,14.7798931,0,-0.5457527189316476,0.6233865161989512,-1.169139235130599
083,Patient-Centred,15,382,25.466666666666665,14,41,12,0.518324607329843,6.114339164857618,3.6649214659685865,1.0471204188481675,7.591623036649215,4.973821989528796,1.3089005235602094,1.3089005235602094,0.7853403141361257,1.5706806282722514,0.03286384976525822,0.2617801047120419,0.7853403141361257,0.0,4.973821989528796,11.28275425,0,0.758824392009504,-0.8905711730018672,1.6493955650113712
084,Task-Centred,18,424,23.555555555555557,17,113,14,0.44339622641509435,7.4542813036020625,1.650943396226415,0.7075471698113207,4.952830188679245,1.650943396226415,0.0,0.0,0.0,0.7075471698113207,0.03896103896103896,3.5377358490566038,6.839622641509434,0.2358490566037736,7.0754716981132075,10.525733216666668,0,-0.7399257812770068,0.656224423852273,-1.3961502051292798
085,Task-Centred,12,280,23.333333333333332,11,26,10,0.5571428571428572,8.472500000000004,0.35714285714285715,0.0,4.642857142857143,0.7142857142857143,0.0,0.0,0.0,1.7857142857142858,0.0,2.857142857142857,6.071428571428571,0.35714285714285715,8.214285714285714,8.116011616666666,2,-0.8140781383893159,0.757757408713408,-1.5718355471027239
086,Patient-Centred,16,408,25.5,14,72,12,0.5343137254901961,6.52401960784314,3.1862745098039214,0.7352941176470589,5.882352941176471,4.166666666666667,1.2254901960784315,1.7156862745098038,0.9803921568627451,0.49019607843137253,0.058823529411764705,0.0,0.7352941176470589,0.24509803921568626,5.392156862745098,9.674218416666667,0,0.30373275645088027,-0.6508657634166621,0.9545985198675424
087,Task-Centred,13,341,26.23076923076923,12,51,11,0.5630498533724341,7.988421196208147,1.7595307917888563,0.2932551319648094,4.39882697947214,2.0527859237536656,0.0,0.2932551319648094,0.0,0.2932551319648094,0.021739130434782608,3.5190615835777126,7.038123167155425,0.2932551319648094,6.158357771260997,9.254891866666666,0,-0.854160873991963,0.5891767745524398,-1.4433376485444027
089,Patient-Centred,15,522,34.8,15,130,14,0.40229885057471265,7.37968429118774,2.681992337164751,1.7241379310344827,6.32183908045977,4.21455938697318,1.3409961685823755,2.681992337164751,0.5747126436781609,0.9578544061302682,0.07665505226480836,0.0,0.7662835249042146,0.0,6.513409961685824,10.959375516666666,0,0.6344366250143118,-0.7152972335687982,1.34973385858311
